time_msc;open;sma;current_delta;forecast_delta
2024-05-27 12:44:20;124895;124907,1429;-1,785714286;-0,357142857
2024-05-27 12:44:25;124905;124906,7857;-0,357142857;-0,357142857
2024-05-27 12:44:30;124905;124906,4286;-0,357142857;-0,357142857
2024-05-27 12:44:35;124910;124906,0714;-0,357142857;-0,714285714
2024-05-27 12:44:40;124905;124905,3571;-0,714285714;-1,071428571
2024-05-27 12:44:45;124895;124904,2857;-1,071428571;-1,071428571
2024-05-27 12:44:50;124905;124903,2143;-1,071428571;-0,714285714
2024-05-27 12:44:55;124900;124902,5;-0,714285714;-0,357142857
2024-05-27 12:45:00;124900;124902,1429;-0,357142857;-0,714285714
2024-05-27 12:45:05;124895;124901,4286;-0,714285714;-1,428571429
2024-05-27 12:45:10;124890;124900;-1,428571429;-0,357142857
2024-05-27 12:45:15;124895;124899,6429;-0,357142857;0
2024-05-27 12:45:20;124895;124899,6429;0;-1,071428571
2024-05-27 12:45:25;124885;124898,5714;-1,071428571;-1,071428571
2024-05-27 12:45:30;124880;124897,5;-1,071428571;-2,142857143
2024-05-27 12:45:35;124875;124895,3571;-2,142857143;-1,785714286
2024-05-27 12:45:40;124880;124893,5714;-1,785714286;-2,857142857
2024-05-27 12:45:45;124870;124890,7143;-2,857142857;-1,785714286
2024-05-27 12:45:50;124880;124888,9286;-1,785714286;-2,142857143
2024-05-27 12:45:55;124865;124886,7857;-2,142857143;-2,857142857
2024-05-27 12:46:00;124865;124883,9286;-2,857142857;-2,5
2024-05-27 12:46:05;124865;124881,4286;-2,5;-2,142857143
2024-05-27 12:46:10;124870;124879,2857;-2,142857143;-2,857142857
2024-05-27 12:46:15;124855;124876,4286;-2,857142857;-1,428571429
2024-05-27 12:46:20;124870;124875;-1,428571429;-2,142857143
2024-05-27 12:46:25;124865;124872,8571;-2,142857143;-1,785714286
2024-05-27 12:46:30;124870;124871,0714;-1,785714286;-0,714285714
2024-05-27 12:46:35;124875;124870,3571;-0,714285714;0
2024-05-27 12:46:40;124880;124870,3571;0;0,357142857
2024-05-27 12:46:45;124880;124870,7143;0,357142857;0
2024-05-27 12:46:50;124880;124870,7143;0;0,357142857
2024-05-27 12:46:55;124875;124871,0714;0,357142857;0
2024-05-27 12:47:00;124880;124871,0714;0;0,714285714
2024-05-27 12:47:05;124875;124871,7857;0,714285714;1,071428571
2024-05-27 12:47:10;124880;124872,8571;1,071428571;1,428571429
2024-05-27 12:47:15;124885;124874,2857;1,428571429;1,071428571
2024-05-27 12:47:20;124885;124875,3571;1,071428571;1,428571429
2024-05-27 12:47:25;124875;124876,7857;1,428571429;0
2024-05-27 12:47:30;124870;124876,7857;0;0,714285714
2024-05-27 12:47:35;124875;124877,5;0,714285714;0,357142857
2024-05-27 12:47:40;124875;124877,8571;0,357142857;0
